Id,Date,Open,High,Low,Close,Indices
402,17-Oct-22,1476.9,1495,1475.5,1489.95,INFY
403,18-Oct-22,1510,1510.95,1497.25,1503.7,INFY
404,19-Oct-22,1504,1504.95,1481.3,1485.45,INFY
405,20-Oct-22,1475,1504,1474.2,1500.9,INFY
406,21-Oct-22,1500.3,1506,1491.35,1500.5,INFY
407,24-Oct-22,1518.5,1521.8,1511,1517.85,INFY
408,25-Oct-22,1528.1,1532.9,1521.05,1526.3,INFY
409,27-Oct-22,1530.8,1534.9,1512.5,1523.95,INFY
410,28-Oct-22,1526,1527.95,1507,1513.25,INFY
411,31-Oct-22,1530.25,1546.4,1530.25,1537.65,INFY
412,01-Nov-22,1553.05,1575,1547.1,1573,INFY
413,02-Nov-22,1572,1572.75,1545,1553.3,INFY
414,03-Nov-22,1538.75,1543.9,1521.65,1530.75,INFY
415,04-Nov-22,1520.45,1520.45,1501.15,1514,INFY
416,07-Nov-22,1521.4,1527.9,1491.1,1507.45,INFY
417,09-Nov-22,1529,1529,1501.1,1511.2,INFY
418,10-Nov-22,1485,1512,1485,1501.95,INFY
419,11-Nov-22,1546.65,1573.5,1546.65,1570.1,INFY
420,14-Nov-22,1575.15,1591.4,1568.45,1585.3,INFY
421,15-Nov-22,1577.85,1597.85,1572.75,1594,INFY
422,16-Nov-22,1597.15,1609,1593.5,1602.8,INFY
423,17-Nov-22,1597.2,1602.8,1582.95,1587.4,INFY
424,18-Nov-22,1591.7,1598,1575.5,1593.4,INFY
425,21-Nov-22,1582.1,1587.85,1564.05,1568.2,INFY
426,22-Nov-22,1569,1588,1562,1585.05,INFY
427,23-Nov-22,1588.9,1592,1579.3,1583.15,INFY
428,24-Nov-22,1589,1636,1584.75,1629.8,INFY
429,25-Nov-22,1631.4,1644,1613.8,1635.65,INFY
430,28-Nov-22,1628,1653.5,1620,1623.4,INFY
431,29-Nov-22,1621.2,1638.75,1615.05,1629.05,INFY
432,30-Nov-22,1619.95,1645.75,1613.15,1634.95,INFY
433,01-Dec-22,1656.2,1672.6,1652.3,1657.1,INFY
434,02-Dec-22,1656,1661.8,1633.95,1637.9,INFY
435,05-Dec-22,1638,1644.85,1623.3,1639.75,INFY
436,06-Dec-22,1625,1626,1607.55,1612.9,INFY
437,07-Dec-22,1608,1623.8,1596.7,1605.5,INFY
